Filename,FunDef,FunApp,letlambda,BoolAnd,BoolOr,Add,Sub,Mult,Div,Mod,CondLT,CondLE,CondGT,CondGE,CondEq,CondNE,FloatLiteral,IntLiteral,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,eTime
1.cpp,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0.6290493011474609
10.cpp,7,2,0,0,0,0,0,1,1,2,3,2,1,0,0,0,1,14,12,13,0,0,4,0,0,4,0,0,0,0.42180848121643066
2.cpp,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,4,6,0,0,1,1,1,1,0,0,0,0.4776742458343506
3.cpp,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,11,6,8,0,0,2,1,1,3,0,0,0,0.42183971405029297
4.cpp,4,1,0,0,0,3,0,1,0,4,2,3,0,0,0,0,0,18,9,12,0,0,3,1,1,4,0,0,0,0.39399194717407227
5.cpp,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,11,6,8,0,0,2,1,1,3,0,0,0,0.6635961532592773
6.cpp,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,7,6,8,0,0,2,0,0,4,0,0,0,0.40427708625793457
7.cpp,4,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,8,5,8,0,0,2,0,0,4,0,0,0,0.45386600494384766
8.cpp,5,2,0,0,0,0,1,1,1,2,1,3,0,0,0,0,1,12,7,9,0,0,2,0,0,5,0,0,0,0.5805280208587646
9.cpp,8,4,0,0,0,0,1,2,1,2,3,3,1,0,0,0,1,18,13,14,0,0,4,0,0,5,0,0,0,0.4482583999633789
